time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1712533194138000000,2.011999755859375,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533196139000000,4.013,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533198143000000,6.017,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533200148000000,8.022,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533202151000000,10.025,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533204154000000,12.027999755859375,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533206156000000,14.03,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533208158000000,16.032000244140626,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533210160000000,18.034,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533212165000000,20.039,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533214166000000,22.040000244140625,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533216169000000,24.043,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533218174000000,26.048000244140624,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533220178000000,28.051999755859374,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533222183000000,30.057,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533224187000000,32.061,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533226187000000,34.061,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533228191000000,36.065,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533230196000000,38.07,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533232201000000,40.075,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533234206000000,42.08000024414063,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533236211000000,44.085,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533238216000000,46.09,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533240222000000,48.096000244140626,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533242225000000,50.099,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533244230000000,52.10400024414062,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533246232000000,54.106,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533248237000000,56.111,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533250240000000,58.114,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533252245000000,60.119,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533254247000000,62.121,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533256252000000,64.126,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533258256000000,66.13,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533260261000000,68.135,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533262266000000,70.13999975585938,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533264271000000,72.145,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533266271000000,74.145,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533268275000000,76.149,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533270280000000,78.154,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533272282000000,80.15599975585937,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533274286000000,82.16000024414062,cellular,true,true,,true,,,,,,,--
1712533276291000000,84.165,cellular,true,true,,true,,,,,,,--
1712533278296000000,86.17,cellular,true,true,,true,,,,,,,--
1712533280302000000,88.17600024414062,cellular,true,true,,true,,,,,,,--
1712533282307000000,90.181,cellular,true,true,,true,,,,,,,--
1712533284309000000,92.183,cellular,true,true,,true,,,,,,,--
1712533286314000000,94.18799975585938,cellular,true,true,,true,,,,,,,--
1712533288319000000,96.193,cellular,true,true,,true,,,,,,,--
1712533290324000000,98.198,cellular,true,true,,true,,,,,,,--
1712533292329000000,100.203,cellular,true,true,,true,,,,,,,--
1712533294335000000,102.209,cellular,true,true,,true,,,,,,,--
1712533296339000000,104.213,cellular,true,true,,true,,,,,,,--
1712533298341000000,106.215,cellular,true,true,,true,,,,,,,--
1712533300346000000,108.21999975585938,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533302346000000,110.21999975585938,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533304352000000,112.226,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533306357000000,114.231,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533308361000000,116.235,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533310366000000,118.24000024414063,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533312367000000,120.241,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533314370000000,122.24399975585938,cellular,true,true,,true,,,,,,,--
1712533316371000000,124.245,cellular,true,true,,true,,,,,,,--
1712533318374000000,126.24800024414063,cellular,true,true,,true,,,,,,,--
1712533320375000000,128.249,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
1712533322376000000,130.25,wifi,true,true,,false,PAL3.0,50:f:80:c4:ba:8f,,10.184.85.199,,,
