time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1712855398748000000,2.003,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855400752000000,4.007,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855402757000000,6.012,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855404761000000,8.016,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855406762000000,10.016999755859375,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855408767000000,12.022,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855410768000000,14.023,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855412770000000,16.024999755859376,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855414775000000,18.03,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855416779000000,20.034,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855418783000000,22.038,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855420784000000,24.039,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855422785000000,26.04,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855424790000000,28.045000244140624,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855426791000000,30.046,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855428792000000,32.047,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855430795000000,34.05,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855432799000000,36.054,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855434801000000,38.056,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855436805000000,40.06,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855438806000000,42.06100024414062,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855440808000000,44.063,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855442812000000,46.067,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855444817000000,48.072,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855446821000000,50.076,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855448824000000,52.079,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855450828000000,54.083,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855452832000000,56.087,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855454836000000,58.091,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855456838000000,60.093000244140626,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855458841000000,62.096,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855460846000000,64.10100024414062,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855462850000000,66.10499975585938,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855464854000000,68.10900024414063,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855466858000000,70.11299975585938,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855468864000000,72.119,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855470868000000,74.123,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855472868000000,76.123,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855474872000000,78.127,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855476874000000,80.12899975585937,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855478875000000,82.13,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855480877000000,84.132,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855482879000000,86.134,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855484883000000,88.138,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855486887000000,90.142,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855488891000000,92.146,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855490896000000,94.151,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855492901000000,96.156,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855494902000000,98.15700024414062,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855496905000000,100.16,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855498908000000,102.163,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855500910000000,104.16500024414063,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855502909000000,106.164,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855504913000000,108.168,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855506915000000,110.17,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855508915000000,112.17,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855510919000000,114.174,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855512921000000,116.176,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855514924000000,118.179,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855516927000000,120.182,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855518931000000,122.186,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855520931000000,124.186,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855522932000000,126.187,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855524935000000,128.19,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855526935000000,130.19,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855528937000000,132.192,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855530937000000,134.192,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855532942000000,136.1970002441406,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855534947000000,138.202,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855536951000000,140.206,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855538955000000,142.21,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
1712855540960000000,144.215,wifi,true,true,,false,Aptzly,ba:5e:71:47:61:27,,10.0.0.59,,,
