time,seconds_elapsed,bpm
1708479866332506000,6.640506103515625,84
1708479871332506000,11.640506103515625,83
1708479873332506000,13.640506103515625,82
1708479881332506000,21.640506103515627,77.00000000000001
1708479886332506000,26.640506103515627,81
1708479887332505900,27.640505859375,81
1708479892332505900,32.640505859375,86
1708479900332506000,40.64050610351563,87
1708479905332505900,45.640505859375,82
1708479911332505900,51.640505859375,81
1708479912332505900,52.640505859375,81
1708479919332505900,59.640505859375,80
1708479922332505900,62.640505859375,79
1708479931332506000,71.64050610351562,82
1708479932332505900,72.640505859375,82
1708479937332505900,77.640505859375,83
1708479946332506000,86.64050610351562,79
1708479951332505900,91.640505859375,78
1708479956332505900,96.640505859375,79
1708479958332505900,98.640505859375,78
1708479965332505900,105.640505859375,77.00000000000001
1708479970332505900,110.640505859375,77.00000000000001
1708479976332505900,116.640505859375,77.00000000000001
1708479979332505900,119.640505859375,77.00000000000001
1708479985332505900,125.640505859375,78
1708479991332505900,131.640505859375,78
1708479993332505900,133.640505859375,78
1708480001332505900,141.640505859375,80
1708480002332505900,142.640505859375,80
1708480009332505900,149.640505859375,80
1708480012332505900,152.640505859375,81
1708480017332505900,157.640505859375,83
1708480026332505900,166.640505859375,80
1708480029332505900,169.640505859375,80
1708480032332505900,172.640505859375,80
1708480041332505900,181.640505859375,77.00000000000001
1708480042332505900,182.640505859375,77.00000000000001
1708480047332505900,187.640505859375,78
1708480052332505900,192.640505859375,78
1708480061332505900,201.640505859375,76
1708480064332505900,204.640505859375,76
1708480068332505900,208.640505859375,76
1708480075332505900,215.640505859375,77.00000000000001
1708480077332505900,217.640505859375,78
1708480083332505900,223.640505859375,80
1708480089332505900,229.640505859375,78
1708480093332506000,233.64050610351563,80
1708480101332505900,241.640505859375,76
1708480106332505900,246.640505859375,78
1708480109332505900,249.640505859375,78
1708480116332505900,256.640505859375,76
1708480120332505900,260.640505859375,77.00000000000001
1708480123332506000,263.64050610351563,78
1708480131332505900,271.640505859375,79
1708480132332506000,272.64050610351563,79
1708480137332505900,277.640505859375,79
1708480146332506000,286.64050610351563,79
1708480149332505900,289.640505859375,79
1708480154332506000,294.64050610351563,80
1708480160332506000,300.64050610351563,79
1708480162332505900,302.640505859375,79
1708480168332506000,308.64050610351563,82
1708480175332506000,315.64050610351563,79
1708480177332506000,317.64050610351563,79
1708480183332506000,323.64050610351563,78
1708480187332506000,327.64050610351563,79
1708480194332506000,334.64050610351563,78
1708480200332506000,340.64050610351563,80
1708480203332505900,343.640505859375,80
1708480210332506000,350.64050610351563,78
1708480212332506000,352.64050610351563,78
1708480218332505900,358.640505859375,77.00000000000001
1708480226332506000,366.64050610351563,75
1708480228332505900,368.640505859375,75
1708480236332506000,376.64050610351563,77.00000000000001
1708480237332505900,377.640505859375,77.00000000000001
1708480243332506000,383.64050610351563,75
1708480251332506000,391.64050610351563,77.00000000000001
1708480256332505900,396.640505859375,77.00000000000001
1708480258332505900,398.640505859375,77.00000000000001
1708480263332506000,403.64050610351563,77.00000000000001
1708480270332505900,410.640505859375,81
1708480274332506000,414.64050610351563,79
1708480278332506000,418.64050610351563,82
1708480282332506000,422.64050610351563,83
1708480290332506000,430.64050610351563,82
1708480296332506000,436.64050610351563,80
1708480301334491600,441.64249169921874,79
1708480305334491600,445.64249169921874,78
1708480307334491600,447.64249169921874,78
1708480314334491600,454.64249169921874,78
1708480321334491600,461.64249169921874,80
1708480325334491600,465.64249169921874,79
1708480328334491600,468.64249169921874,80
1708480332334491600,472.64249169921874,80
1708480338334491600,478.64249169921874,80
1708480343334491600,483.64249169921874,81
1708480350334491600,490.64249169921874,84
1708480356334491600,496.64249169921874,83
1708480360334491600,500.64249169921874,83
1708480365334491600,505.64249169921874,81
1708480370334491600,510.64249169921874,82
1708480375334491600,515.6424916992188,81
1708480381334491600,521.6424916992188,80
1708480382334491600,522.6424916992188,80
1708480391334491600,531.6424916992188,81
1708480395334491600,535.6424916992188,82
1708480397334491600,537.6424916992188,82
1708480406334491600,546.6424916992188,81
1708480411334491600,551.6424916992188,82
1708480413334491600,553.6424916992188,82
1708480421334491600,561.6424916992188,79
1708480423334491600,563.6424916992188,80
1708480430334491600,570.6424916992188,82
1708480433334491600,573.6424916992188,82
1708480441334491600,581.6424916992188,89
1708480445334491600,585.6424916992188,87
1708480447334491600,587.6424916992188,86
1708480456334491600,596.6424916992188,81
1708480461334491600,601.6424916992188,79
1708480465334491600,605.6424916992188,80
1708480471334491600,611.6424916992188,80
1708480472334491600,612.6424916992188,80
1708480479334491600,619.6424916992188,85
1708480486334491600,626.6424916992188,95
1708480487334491600,627.6424916992188,94
1708480495334491600,635.6424916992188,82
1708480501334491600,641.6424916992188,81
1708480503334491600,643.6424916992188,81
1708480507334491600,647.6424916992188,81
1708480516334491600,656.6424916992188,89
1708480520334491600,660.6424916992188,90
1708480522334491600,662.6424916992188,92.00000000000001
1708480531334491600,671.6424916992188,84
1708480532334491600,672.6424916992188,85
1708480540334491600,680.6424916992188,86
1708480546334491600,686.6424916992188,92.00000000000001
1708480547334491600,687.6424916992188,92.00000000000001
1708480553334491600,693.6424916992188,88
1708480560334491600,700.6424916992188,82
1708480565334491600,705.6424916992188,83
1708480567334491600,707.6424916992188,83
