time,seconds_elapsed,dBFS
1710791180257000000,0.046,-46.16596984863281
1710791180365000000,0.154,-42.62084197998047
1710791180465000000,0.254,-38.86891174316406
1710791180566000000,0.355000244140625,-36.11439514160156
1710791180666000000,0.454999755859375,-32.37660598754883
1710791180766000000,0.555000244140625,-32.40995407104492
1710791180885000000,0.674,-32.336517333984375
1710791180983000000,0.772,-32.817806243896484
1710791181083000000,0.872,-29.98815155029297
1710791181184000000,0.973,-29.559886932373047
1710791181284000000,1.073,-30.38027572631836
1710791181386000000,1.174999755859375,-29.064786911010742
1710791181485000000,1.274,-30.7002010345459
1710791181584000000,1.373,-29.93206787109375
1710791181684000000,1.473,-30.399951934814453
1710791181801000000,1.59,-28.076635360717773
1710791181901000000,1.69,-28.960906982421875
1710791182002000000,1.790999755859375,-28.052532196044922
1710791182103000000,1.892,-29.16194725036621
1710791182202000000,1.990999755859375,-28.443540573120117
1710791182302000000,2.091000244140625,-25.271892547607422
1710791182402000000,2.190999755859375,-26.509029388427734
1710791182502000000,2.291000244140625,-28.622600555419922
1710791182602000000,2.390999755859375,-25.077007293701172
1710791182702000000,2.491000244140625,-26.907222747802734
1710791182803000000,2.592,-26.089353561401367
1710791182903000000,2.692,-26.322887420654297
1710791183003000000,2.792,-27.453689575195312
1710791183103000000,2.892,-23.35663414001465
1710791183220000000,3.009,-25.581836700439453
1710791183320000000,3.109,-25.722091674804688
1710791183420000000,3.209,-23.874692916870117
1710791183520000000,3.309,-25.8348445892334
1710791183621000000,3.41,-22.6187686920166
1710791183721000000,3.51,-25.011049270629883
1710791183821000000,3.61,-23.205068588256836
1710791183921000000,3.71,-24.338062286376953
1710791184025000000,3.814,-23.421497344970703
1710791184138000000,3.926999755859375,-22.60248565673828
1710791184240000000,4.029,-23.483877182006836
1710791184339000000,4.128,-22.379932403564453
1710791184441000000,4.23,-24.413066864013672
1710791184539000000,4.328,-25.205970764160156
1710791184639000000,4.428,-20.89215660095215
1710791184740000000,4.529,-23.532581329345703
1710791184842000000,4.630999755859375,-22.30994987487793
1710791184940000000,4.729,-24.054088592529297
1710791185041000000,4.83,-22.315393447875977
1710791185139000000,4.928,-23.233135223388672
1710791185240000000,5.029,-22.607322692871094
1710791185340000000,5.129,-24.22658920288086
