time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1712625499304000000,2.002,cellular,true,true,,true,,,,,,,--
1712625501308000000,4.006,cellular,true,true,,true,,,,,,,--
1712625503315000000,6.013,cellular,true,true,,true,,,,,,,--
1712625505320000000,8.018,cellular,true,true,,true,,,,,,,--
1712625507326000000,10.024000244140625,cellular,true,true,,true,,,,,,,--
1712625509332000000,12.03,cellular,true,true,,true,,,,,,,--
1712625511338000000,14.035999755859375,cellular,true,true,,true,,,,,,,--
1712625513344000000,16.042,cellular,true,true,,true,,,,,,,--
1712625515350000000,18.048000244140624,cellular,true,true,,true,,,,,,,--
1712625517356000000,20.054,cellular,true,true,,true,,,,,,,--
1712625519362000000,22.059999755859376,cellular,true,true,,true,,,,,,,--
1712625521368000000,24.066,cellular,true,true,,true,,,,,,,--
1712625523374000000,26.072000244140625,cellular,true,true,,true,,,,,,,--
1712625525380000000,28.078,cellular,true,true,,true,,,,,,,--
1712625527386000000,30.083999755859374,cellular,true,true,,true,,,,,,,--
1712625529392000000,32.09,cellular,true,true,,true,,,,,,,--
1712625531398000000,34.096000244140626,cellular,true,true,,true,,,,,,,--
1712625533404000000,36.102,cellular,true,true,,true,,,,,,,--
1712625535410000000,38.107999755859375,cellular,true,true,,true,,,,,,,--
1712625537411000000,40.109,cellular,true,true,,true,,,,,,,--
1712625539416000000,42.114,cellular,true,true,,true,,,,,,,--
1712625541417000000,44.115,cellular,true,true,,true,,,,,,,--
1712625543433000000,46.131,cellular,true,true,,true,,,,,,,--
1712625545439000000,48.137,cellular,true,true,,true,,,,,,,--
1712625547445000000,50.143,cellular,true,true,,true,,,,,,,--
1712625549452000000,52.15,cellular,true,true,,true,,,,,,,--
1712625551458000000,54.155999755859376,cellular,true,true,,true,,,,,,,--
1712625553464000000,56.162,cellular,true,true,,true,,,,,,,--
1712625555470000000,58.16800024414062,cellular,true,true,,true,,,,,,,--
1712625557476000000,60.174,cellular,true,true,,true,,,,,,,--
1712625559487000000,62.185,cellular,true,true,,true,,,,,,,--
1712625561487000000,64.185,cellular,true,true,,true,,,,,,,--
1712625563493000000,66.191,cellular,true,true,,true,,,,,,,--
1712625565498000000,68.19599975585938,cellular,true,true,,true,,,,,,,--
1712625567500000000,70.198,cellular,true,true,,true,,,,,,,--
1712625569507000000,72.205,cellular,true,true,,true,,,,,,,--
1712625571510000000,74.20800024414062,cellular,true,true,,true,,,,,,,--
1712625573516000000,76.214,cellular,true,true,,true,,,,,,,--
1712625575521000000,78.219,cellular,true,true,,true,,,,,,,--
1712625577525000000,80.223,cellular,true,true,,true,,,,,,,--
1712625579526000000,82.22400024414063,cellular,true,true,,true,,,,,,,--
1712625581530000000,84.22799975585937,cellular,true,true,,true,,,,,,,--
1712625583534000000,86.23200024414062,cellular,true,true,,true,,,,,,,--
1712625585535000000,88.233,cellular,true,true,,true,,,,,,,--
1712625587535000000,90.233,cellular,true,true,,true,,,,,,,--
1712625589538000000,92.23599975585938,cellular,true,true,,true,,,,,,,--
1712625591542000000,94.24000024414063,cellular,true,true,,true,,,,,,,--
1712625593545000000,96.243,cellular,true,true,,true,,,,,,,--
1712625595548000000,98.246,cellular,true,true,,true,,,,,,,--
1712625597549000000,100.247,cellular,true,true,,true,,,,,,,--
1712625599551000000,102.249,cellular,true,true,,true,,,,,,,--
1712625601553000000,104.251,cellular,true,true,,true,,,,,,,--
1712625603553000000,106.251,cellular,true,true,,true,,,,,,,--
1712625605554000000,108.25199975585937,cellular,true,true,,true,,,,,,,--
1712625607554000000,110.25199975585937,cellular,true,true,,true,,,,,,,--
1712625609555000000,112.253,cellular,true,true,,true,,,,,,,--
1712625611556000000,114.254,cellular,true,true,,true,,,,,,,--
1712625613573000000,116.271,cellular,true,true,,true,,,,,,,--
1712625615574000000,118.27200024414063,cellular,true,true,,true,,,,,,,--
1712625617581000000,120.279,cellular,true,true,,true,,,,,,,--
1712625619587000000,122.285,cellular,true,true,,true,,,,,,,--
1712625621592000000,124.29,cellular,true,true,,true,,,,,,,--
1712625623598000000,126.29600024414063,cellular,true,true,,true,,,,,,,--
1712625625603000000,128.301,cellular,true,true,,true,,,,,,,--
1712625627609000000,130.307,cellular,true,true,,true,,,,,,,--
1712625629615000000,132.313,cellular,true,true,,true,,,,,,,--
1712625631619000000,134.317,cellular,true,true,,true,,,,,,,--
1712625633625000000,136.323,cellular,true,true,,true,,,,,,,--
1712625635630000000,138.3280002441406,cellular,true,true,,true,,,,,,,--
1712625637636000000,140.334,cellular,true,true,,true,,,,,,,--
1712625639641000000,142.339,cellular,true,true,,true,,,,,,,--
1712625641647000000,144.345,cellular,true,true,,true,,,,,,,--
1712625643652000000,146.35,cellular,true,true,,true,,,,,,,--
1712625645657000000,148.355,cellular,true,true,,true,,,,,,,--
1712625647663000000,150.361,cellular,true,true,,true,,,,,,,--
1712625649668000000,152.366,cellular,true,true,,true,,,,,,,--
1712625651673000000,154.371,cellular,true,true,,true,,,,,,,--
1712625653678000000,156.3760002441406,cellular,true,true,,true,,,,,,,--
1712625655684000000,158.382,cellular,true,true,,true,,,,,,,--
1712625657690000000,160.38799975585937,cellular,true,true,,true,,,,,,,--
1712625659696000000,162.394,cellular,true,true,,true,,,,,,,--
1712625661702000000,164.4000002441406,cellular,true,true,,true,,,,,,,--
1712625663707000000,166.405,cellular,true,true,,true,,,,,,,--
1712625665713000000,168.411,cellular,true,true,,true,,,,,,,--
1712625667718000000,170.41600024414063,cellular,true,true,,true,,,,,,,--
1712625669725000000,172.423,cellular,true,true,,true,,,,,,,--
1712625671730000000,174.4279997558594,cellular,true,true,,true,,,,,,,--
1712625673737000000,176.435,cellular,true,true,,true,,,,,,,--
1712625675743000000,178.441,cellular,true,true,,true,,,,,,,--
1712625677749000000,180.447,cellular,true,true,,true,,,,,,,--
1712625679755000000,182.453,cellular,true,true,,true,,,,,,,--
1712625681760000000,184.458,cellular,true,true,,true,,,,,,,--
1712625683764000000,186.462,cellular,true,true,,true,,,,,,,--
1712625685770000000,188.46799975585938,cellular,true,true,,true,,,,,,,--
1712625687776000000,190.474,cellular,true,true,,true,,,,,,,--
1712625689783000000,192.481,cellular,true,true,,true,,,,,,,--
1712625691789000000,194.487,cellular,true,true,,true,,,,,,,--
1712625693789000000,196.487,cellular,true,true,,true,,,,,,,--
1712625695792000000,198.49,cellular,true,true,,true,,,,,,,--
1712625697798000000,200.49600024414062,cellular,true,true,,true,,,,,,,--
1712625699804000000,202.502,cellular,true,true,,true,,,,,,,--
1712625701811000000,204.509,cellular,true,true,,true,,,,,,,--
